time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
0.009523809524;1;0;0;0;0;0;0;0;0;592.94;592.92;592.75;
0.01904761905;1;0;0;0;0;0;0;0;0;593.24;593.19;592.75;
0.02969187675;1;0;0;0;0;0;0;0;0;593.65;593.54;592.75;
0.04104575163;1;0;0;0;0;0;0;0;0;594.19;593.99;592.75;
0.05327300151;1;0;0;0;0;0;0;0;0;594.86;594.54;592.75;
0.06661181955;1;0;0;0;0;0;0;0;0;597.03;596.37;592.75;
0.08143272849;1;0;0;0;0;0;0;0;0;598.99;597.88;592.75;
0.09837091014;1;0;0;0;0;0;0;0;0;602.89;600.99;592.75;
0.1186967281;1;0;0;0;0;0;0;0;0;602.94;600.98;592.75;
0.1209551523;1;0;0;0;0;0;0;0;0;602.99;600.98;592.75;
0.1232135765;1;0;0;0;0;0;0;0;0;603.05;600.98;592.75;
0.1254720008;1;0;0;0;0;0;0;0;0;603.12;600.98;592.75;
0.127730425;1;0;0;0;0;0;0;0;0;603.19;601;592.75;
0.1299888492;1;0;0;0;0;0;0;0;0;603.3;601.03;592.75;
0.1322472734;1;0;0;0;0;0;0;0;0;603.44;601.09;592.75;
0.1345056976;1;0;0;0;0;0;0;0;0;603.6;601.17;592.75;
0.1367641219;1;0;0;0;0;0;0;0;0;603.79;601.27;592.75;
0.1390225461;1;0;0;0;0;0;0;0;0;603.98;601.37;592.75;
0.1412003123;1;0;0;0;0;0;0;0;0;604.17;601.49;592.75;
0.1433780785;1;0;0;0;0;0;0;0;0;604.37;601.6;592.75;
0.1455558447;1;0;0;0;0;0;0;0;0;604.56;601.72;592.75;
0.1477336109;1;0;0;0;0;0;0;0;0;604.76;601.84;592.75;
0.1499113771;1;0;0;0;0;0;0;0;0;604.96;601.95;592.75;
0.1520891433;1;0;0;0;0;0;0;0;0;605.16;602.07;592.75;
0.1542669096;1;0;0;0;0;0;0;0;0;605.36;602.18;592.75;
0.1564446758;1;0;0;0;0;0;0;0;0;605.56;602.3;592.75;
0.158622442;1;0;0;0;0;0;0;0;0;605.75;602.41;592.75;
0.1608002082;1;0;0;0;0;0;0;0;0;605.95;602.52;592.75;
0.1629779744;1;0;0;0;0;0;0;0;0;606.15;602.63;592.75;
0.1651557406;1;0;0;0;0;0;0;0;0;606.34;602.73;592.75;
0.1673335068;1;0;0;0;0;0;0;0;0;606.54;602.84;592.75;
0.169511273;1;0;0;0;0;0;0;0;0;606.72;602.94;592.75;
0.1715438548;1;0;0;0;0;0;0;0;0;606.91;603.03;592.75;
0.1735764366;1;0;0;0;0;0;0;0;0;607.09;603.13;592.75;
0.1756090184;1;0;0;0;0;0;0;0;0;607.27;603.22;592.75;
0.1776416002;1;0;0;0;0;0;0;0;0;607.45;603.31;592.75;
0.179674182;1;0;0;0;0;0;0;0;0;607.63;603.4;592.75;
0.1817067638;1;0;0;0;0;0;0;0;0;607.82;603.49;592.75;
0.1837393456;1;0;0;0;0;0;0;0;0;608;603.58;592.75;
0.1857719274;1;0;0;0;0;0;0;0;0;608.18;603.67;592.75;
0.1878045092;1;0;0;0;0;0;0;0;0;608.36;603.76;592.75;
0.189837091;1;0;0;0;0;0;0;0;0;608.54;603.84;592.75;
0.1918696728;1;0;0;0;0;0;0;0;0;608.72;603.92;592.75;
0.1939022546;1;0;0;0;0;0;0;0;0;608.9;604.01;592.75;
0.1959348364;1;0;0;0;0;0;0;0;0;609.08;604.09;592.75;
0.1979674182;1;0;0;0;0;0;0;0;0;609.25;604.17;592.75;
0.2;1;0;0;0;0;0;0;0;0;609.44;604.25;592.75;
0.2021276596;1;0;0;0;0;0;0;0;0;609.62;604.33;592.75;
0.2042553191;1;0;0;0;0;0;0;0;0;609.8;604.41;592.75;
0.2063601007;1;0;0;0;0;0;0;0;0;609.97;604.48;592.75;
0.2084422501;1;0;0;0;0;0;0;0;0;610.15;604.55;592.75;
0.2105243996;1;0;0;0;0;0;0;0;0;610.31;604.62;592.75;
0.212583917;1;0;0;0;0;0;0;0;0;610.48;604.69;592.75;
0.2146210483;1;0;0;0;0;0;0;0;0;610.64;604.75;592.75;
0.2166360369;1;0;0;0;0;0;0;0;0;610.79;604.81;592.75;
0.2186291235;1;0;0;0;0;0;0;0;0;610.94;604.87;592.75;
0.220600546;1;0;0;0;0;0;0;0;0;611.09;604.93;592.75;
0.2225505401;1;0;0;0;0;0;0;0;0;611.23;604.98;592.75;
0.2244585988;1;0;0;0;0;0;0;0;0;611.36;605.03;592.75;
0.2263461408;1;0;0;0;0;0;0;0;0;611.49;605.08;592.75;
0.2282133866;1;0;0;0;0;0;0;0;0;611.62;605.12;592.75;
0.2300605544;1;0;0;0;0;0;0;0;0;611.74;605.16;592.75;
0.2318878603;1;0;0;0;0;0;0;0;0;611.86;605.21;592.75;
0.2336955177;1;0;0;0;0;0;0;0;0;611.97;605.25;592.75;
0.235483738;1;0;0;0;0;0;0;0;0;612.08;605.28;592.75;
0.23725273;1;0;0;0;0;0;0;0;0;612.18;605.32;592.75;
0.2390027007;1;0;0;0;0;0;0;0;0;612.28;605.35;592.75;
0.2407338544;1;0;0;0;0;0;0;0;0;612.38;605.38;592.75;
0.2424463936;1;0;0;0;0;0;0;0;0;612.47;605.41;592.75;
0.2441405184;1;0;0;0;0;0;0;0;0;612.56;605.44;592.75;
0.2458164268;1;0;0;0;0;0;0;0;0;612.65;605.47;592.75;
0.2474743147;1;0;0;0;0;0;0;0;0;612.73;605.49;592.75;
0.2491143759;1;0;0;0;0;0;0;0;0;612.8;605.52;592.75;
0.2507368019;1;0;0;0;0;0;0;0;0;612.88;605.54;592.75;
0.252359228;1;0;0;0;0;0;0;0;0;612.95;605.56;592.75;
0.253964019;1;0;0;0;0;0;0;0;0;613.02;605.58;592.75;
0.2555513666;1;0;0;0;0;0;0;0;0;613.08;605.6;592.75;
0.2571214604;1;0;0;0;0;0;0;0;0;613.15;605.62;592.75;
0.2586915543;1;0;0;0;0;0;0;0;0;613.2;605.64;592.75;
0.2602443943;1;0;0;0;0;0;0;0;0;613.26;605.66;592.75;
0.2617801702;1;0;0;0;0;0;0;0;0;613.31;605.67;592.75;
0.2633159461;1;0;0;0;0;0;0;0;0;613.36;605.69;592.75;
0.2648346578;1;0;0;0;0;0;0;0;0;613.41;605.7;592.75;
0.2663533695;1;0;0;0;0;0;0;0;0;613.46;605.71;592.75;
0.2678550171;1;0;0;0;0;0;0;0;0;613.5;605.73;592.75;
0.2693566646;1;0;0;0;0;0;0;0;0;613.54;605.74;592.75;
0.270841248;1;0;0;0;0;0;0;0;0;613.58;605.75;592.75;
0.2723258313;1;0;0;0;0;0;0;0;0;613.62;605.76;592.75;
0.2737933505;1;0;0;0;0;0;0;0;0;613.65;605.77;592.75;
0.2752608697;1;0;0;0;0;0;0;0;0;613.68;605.78;592.75;
0.2767283889;1;0;0;0;0;0;0;0;0;613.71;605.79;592.75;
0.2781786431;1;0;0;0;0;0;0;0;0;613.74;605.79;592.75;
0.2796118355;1;0;0;0;0;0;0;0;0;613.77;605.8;592.75;
0.2810281669;1;0;0;0;0;0;0;0;0;613.79;605.81;592.75;
0.2824115603;1;0;0;0;0;0;0;0;0;613.82;605.82;592.75;
0.2837788677;1;0;0;0;0;0;0;0;0;613.84;605.82;592.75;
0.2851302763;1;0;0;0;0;0;0;0;0;613.86;605.83;592.75;
0.2864659707;1;0;0;0;0;0;0;0;0;613.88;605.83;592.75;
0.2877861338;1;0;0;0;0;0;0;0;0;613.89;605.84;592.75;
0.2890909462;1;0;0;0;0;0;0;0;0;613.91;605.84;592.75;
0.2903805864;1;0;0;0;0;0;0;0;0;613.92;605.85;592.75;
0.2916552307;1;0;0;0;0;0;0;0;0;613.93;605.85;592.75;
0.2929150536;1;0;0;0;0;0;0;0;0;613.95;605.86;592.75;
0.2941602274;1;0;0;0;0;0;0;0;0;613.96;605.86;592.75;
0.2953909225;1;0;0;0;0;0;0;0;0;613.97;605.86;592.75;
0.2966073071;1;0;0;0;0;0;0;0;0;613.98;605.87;592.75;
0.2978236917;1;0;0;0;0;0;0;0;0;614;605.87;592.75;
0.2990257659;1;0;0;0;0;0;0;0;0;614.01;605.87;592.75;
0.3002136981;1;0;0;0;0;0;0;0;0;614.02;605.87;592.75;
0.3014016303;1;0;0;0;0;0;0;0;0;614.03;605.88;592.75;
0.3025754204;1;0;0;0;0;0;0;0;0;614.04;605.88;592.75;
0.3037352368;1;0;0;0;0;0;0;0;0;614.04;605.88;592.75;
0.3048950532;1;0;0;0;0;0;0;0;0;614.05;605.88;592.75;
0.306040896;1;0;0;0;0;0;0;0;0;614.06;605.89;592.75;
0.3071867387;1;0;0;0;0;0;0;0;0;614.07;605.89;592.75;
0.3083186077;1;0;0;0;0;0;0;0;0;614.07;605.89;592.75;
0.3094504768;1;0;0;0;0;0;0;0;0;614.08;605.89;592.75;
0.3105683721;1;0;0;0;0;0;0;0;0;614.09;605.89;592.75;
0.3116862675;1;0;0;0;0;0;0;0;0;614.09;605.89;592.75;
0.3127901891;1;0;0;0;0;0;0;0;0;614.1;605.9;592.75;
0.3138941108;1;0;0;0;0;0;0;0;0;614.1;605.9;592.75;
0.3149840587;1;0;0;0;0;0;0;0;0;614.11;605.9;592.75;
0.3160740067;1;0;0;0;0;0;0;0;0;614.11;605.9;592.75;
0.3171639547;1;0;0;0;0;0;0;0;0;614.11;605.9;592.75;
0.3182397475;1;0;0;0;0;0;0;0;0;614.12;605.9;592.75;
0.3193155403;1;0;0;0;0;0;0;0;0;614.12;605.9;592.75;
0.3203913331;1;0;0;0;0;0;0;0;0;614.12;605.9;592.75;
0.321452782;1;0;0;0;0;0;0;0;0;614.13;605.9;592.75;
0.3225142308;1;0;0;0;0;0;0;0;0;614.13;605.91;592.75;
0.3235756797;1;0;0;0;0;0;0;0;0;614.13;605.91;592.75;
0.3246371286;1;0;0;0;0;0;0;0;0;614.13;605.91;592.75;
0.3256838352;1;0;0;0;0;0;0;0;0;614.14;605.91;592.75;
0.3267305417;1;0;0;0;0;0;0;0;0;614.14;605.91;592.75;
0.3277772483;1;0;0;0;0;0;0;0;0;614.14;605.91;592.75;
0.3288239548;1;0;0;0;0;0;0;0;0;614.14;605.91;592.75;
0.3298706614;1;0;0;0;0;0;0;0;0;614.14;605.91;592.75;
