time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
0.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;600;
0.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;600;
0.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;600;
0.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;600;
1;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;600;
1.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;600;
1.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;600;
1.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;600;
1.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
2.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
2.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
2.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
2.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
3;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
3.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
3.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
3.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;600;599.99;
3.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
4.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
4.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
4.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
4.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
5;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
5.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
5.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
5.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
5.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
6.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
6.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
6.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
6.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
7;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
