time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
100.000001;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000022;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000036;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000054;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000074;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000099;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000129;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000165;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000208;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.000026;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000322;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000396;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000485;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000592;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.000072;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0000874;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0001059;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0001281;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0001547;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0001867;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.000225;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.000271;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0003262;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0003925;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.000472;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0005674;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0006819;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0008192;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0009841;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0011819;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0014193;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0017041;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0020459;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0024561;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0029483;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.003539;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0042478;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0050984;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.006119;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0073439;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0088136;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0105774;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0126938;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0152336;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0182813;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0219386;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0263273;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0315937;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0379135;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0454972;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0545976;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0655182;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0786228;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.0943483;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.113219;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.1358638;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.1630376;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.1956461;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.2347763;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.2817326;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.3380801;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.4056971;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.4868375;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.584206;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.7010482;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.8378904;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
100.9947326;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
101.1715749;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
101.3684171;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
101.5684171;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
101.7684171;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
101.9684171;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
102.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
102.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
102.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
102.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
102.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
103.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
103.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
103.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
103.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
103.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
104.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
104.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
104.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
104.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
104.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
105.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
105.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
105.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
105.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
105.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
106.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
106.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
106.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
