time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
0.005;1;0;0;0;0;0;0;0;0;588.34;588.08;587.8;
0.01050082554;1;0;0;0;0;0;0;0;0;588.99;588.45;587.8;
0.01655140045;1;0;0;0;0;0;0;0;0;589.73;588.89;587.8;
0.02320703285;1;0;0;0;0;0;0;0;0;590.55;589.41;587.8;
0.03052676356;1;0;0;0;0;0;0;0;0;591.46;590.01;587.8;
0.03857964986;1;0;0;0;0;0;0;0;0;592.45;590.69;587.8;
0.04743424573;1;0;0;0;0;0;0;0;0;593.47;591.42;587.8;
0.05659867091;1;0;0;0;0;0;0;0;0;594.47;592.14;587.8;
0.06562991645;1;0;0;0;0;0;0;0;0;595.45;592.85;587.8;
0.07454766338;1;0;0;0;0;0;0;0;0;596.41;593.56;587.8;
0.08337028768;1;0;0;0;0;0;0;0;0;597.36;594.25;587.8;
0.09209971524;1;0;0;0;0;0;0;0;0;598.3;594.94;587.8;
0.1007529033;1;0;0;0;0;0;0;0;0;599.22;595.61;587.8;
0.1093385469;1;0;0;0;0;0;0;0;0;600.13;596.29;587.8;
0.1178576351;1;0;0;0;0;0;0;0;0;601.04;597.04;587.79;
0.1263183735;1;0;0;0;0;0;0;0;0;601.94;597.77;587.79;
0.1347574176;1;0;0;0;0;0;0;0;0;602.83;598.52;587.79;
0.1431748601;1;0;0;0;0;0;0;0;0;604.02;599.24;587.79;
0.1515851204;1;0;0;0;0;0;0;0;0;605.7;599.95;587.79;
0.1599953808;1;0;0;0;0;0;0;0;0;606.96;600.67;587.79;
0.168398459;1;0;0;0;0;0;0;0;0;608.54;601.35;587.79;
0.1767943613;1;0;0;0;0;0;0;0;0;608.65;601.46;587.79;
0.1788875225;1;0;0;0;0;0;0;0;0;608.76;601.57;587.79;
0.1809722418;1;0;0;0;0;0;0;0;0;608.88;601.69;587.79;
0.183044641;1;0;0;0;0;0;0;0;0;609.01;601.81;587.79;
