time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
0.005;1;0;0;0;0;0;0;0;0;587.85;587.83;587.8;
0.01050082554;1;0;0;0;0;0;0;0;0;587.93;587.86;587.8;
0.01655140045;1;0;0;0;0;0;0;0;0;588.05;587.92;587.8;
0.02320703285;1;0;0;0;0;0;0;0;0;588.21;587.99;587.8;
0.03052676356;1;0;0;0;0;0;0;0;0;588.42;588.08;587.8;
0.03857964986;1;0;0;0;0;0;0;0;0;588.67;588.19;587.8;
0.04743424573;1;0;0;0;0;0;0;0;0;588.97;588.33;587.8;
0.05717256838;1;0;0;0;0;0;0;0;0;589.32;588.49;587.8;
0.06777259763;1;0;0;0;0;0;0;0;0;589.69;588.65;587.8;
0.07828289117;1;0;0;0;0;0;0;0;0;590.07;588.82;587.8;
0.08871582189;1;0;0;0;0;0;0;0;0;590.45;589;587.8;
0.09907244067;1;0;0;0;0;0;0;0;0;590.84;589.17;587.8;
0.1093644652;1;0;0;0;0;0;0;0;0;591.22;589.35;587.8;
0.1196032183;1;0;0;0;0;0;0;0;0;591.6;589.52;587.8;
0.1297891944;1;0;0;0;0;0;0;0;0;591.99;589.69;587.8;
0.139922881;1;0;0;0;0;0;0;0;0;592.37;589.86;587.8;
0.1500150787;1;0;0;0;0;0;0;0;0;592.74;590.03;587.8;
0.1600660837;1;0;0;0;0;0;0;0;0;593.1;590.2;587.8;
0.170086383;1;0;0;0;0;0;0;0;0;593.45;590.36;587.8;
0.1800761326;1;0;0;0;0;0;0;0;0;593.81;590.52;587.8;
0.1900354875;1;0;0;0;0;0;0;0;0;594.16;590.67;587.8;
0.1999646013;1;0;0;0;0;0;0;0;0;594.5;590.83;587.8;
0.209863627;1;0;0;0;0;0;0;0;0;594.82;590.97;587.8;
0.2197426748;1;0;0;0;0;0;0;0;0;595.14;591.12;587.8;
0.2295918765;1;0;0;0;0;0;0;0;0;595.45;591.26;587.8;
0.239421261;1;0;0;0;0;0;0;0;0;595.76;591.4;587.8;
0.2492308878;1;0;0;0;0;0;0;0;0;596.06;591.53;587.8;
0.2590208167;1;0;0;0;0;0;0;0;0;596.35;591.66;587.8;
0.2687911067;1;0;0;0;0;0;0;0;0;596.63;591.78;587.8;
0.2785515971;1;0;0;0;0;0;0;0;0;596.89;591.9;587.8;
0.2882925274;1;0;0;0;0;0;0;0;0;597.16;592.01;587.8;
0.2980139563;1;0;0;0;0;0;0;0;0;597.42;592.12;587.8;
0.307725654;1;0;0;0;0;0;0;0;0;597.67;592.23;587.8;
0.3174276303;1;0;0;0;0;0;0;0;0;597.91;592.33;587.8;
