time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
0.004638218924;1;0;0;0;0;0;0;0;0;602.89;602.87;602.75;
0.009276437848;1;0;0;0;0;0;0;0;0;603.03;603;602.75;
0.01437895244;1;0;0;0;0;0;0;0;0;603.18;603.14;602.75;
0.0199920053;1;0;0;0;0;0;0;0;0;603.35;603.28;602.75;
0.02616775282;1;0;0;0;0;0;0;0;0;603.53;603.43;602.75;
0.03296191648;1;0;0;0;0;0;0;0;0;603.72;603.59;602.75;
0.04043345927;1;0;0;0;0;0;0;0;0;603.92;603.76;602.75;
0.04865092341;1;0;0;0;0;0;0;0;0;604.14;603.93;602.75;
0.05768938761;1;0;0;0;0;0;0;0;0;604.37;604.1;602.75;
0.06763169822;1;0;0;0;0;0;0;0;0;604.62;604.28;602.75;
0.07831166413;1;0;0;0;0;0;0;0;0;604.86;604.45;602.75;
0.08899163005;1;0;0;0;0;0;0;0;0;605.09;604.61;602.75;
0.09967159597;1;0;0;0;0;0;0;0;0;605.32;604.75;602.75;
0.1103515619;1;0;0;0;0;0;0;0;0;605.55;604.89;602.75;
0.1210315278;1;0;0;0;0;0;0;0;0;605.77;605.02;602.75;
0.1317114937;1;0;0;0;0;0;0;0;0;605.99;605.14;602.75;
0.1423914596;1;0;0;0;0;0;0;0;0;606.21;605.26;602.75;
0.1530714255;1;0;0;0;0;0;0;0;0;606.43;605.36;602.75;
0.1637513915;1;0;0;0;0;0;0;0;0;606.64;605.46;602.75;
0.1744313574;1;0;0;0;0;0;0;0;0;606.85;605.56;602.75;
0.1851113233;1;0;0;0;0;0;0;0;0;607.06;605.65;602.75;
0.1957912892;1;0;0;0;0;0;0;0;0;607.27;605.73;602.75;
0.2064712551;1;0;0;0;0;0;0;0;0;607.48;605.82;602.75;
0.217151221;1;0;0;0;0;0;0;0;0;607.69;605.89;602.75;
0.227831187;1;0;0;0;0;0;0;0;0;607.89;605.96;602.75;
0.2385111529;1;0;0;0;0;0;0;0;0;608.08;606.03;602.75;
0.2491911188;1;0;0;0;0;0;0;0;0;608.27;606.09;602.75;
0.2598710847;1;0;0;0;0;0;0;0;0;608.45;606.15;602.75;
