# Region type :     patch water_to_solid
# Faces             : 70
# Area              : 1.023529411764e-04
# Scale factor      : 1.000000000000e+00
# Time              	areaAverage(reactingEulerHtcModel(T.liquid))
0.1                 	-2.305126660266e+02
0.2                 	-1.869908623166e+02
0.3                 	-2.040542544357e+02
0.4                 	-1.786503358673e+02
0.5                 	-1.764298094773e+02
0.6                 	-1.821262528895e+02
0.7                 	-1.815499597942e+02
0.8                 	-1.752595958356e+02
0.9                 	-1.841908262814e+02
1                   	-1.818648423864e+02
1.1                 	-1.895918860680e+02
1.2                 	-1.863659660848e+02
1.3                 	-1.902782156330e+02
1.4                 	-1.860900919750e+02
1.5                 	-1.902688590638e+02
1.6                 	-1.783797202807e+02
1.7                 	-1.823350240389e+02
1.8                 	-1.818875490243e+02
1.9                 	-1.785870805268e+02
2                   	-1.867336856111e+02
2.1                 	-1.786810420549e+02
2.2                 	-1.867947759120e+02
2.3                 	-1.796079267444e+02
2.4                 	-1.839504582716e+02
2.5                 	-1.806510719138e+02
2.6                 	-1.808127691663e+02
2.7                 	-1.817079753736e+02
2.8                 	-1.802804503474e+02
2.9                 	-1.824930674778e+02
3                   	-1.789427789406e+02
3.1                 	-1.815367692334e+02
3.2                 	-1.785747893998e+02
3.3                 	-1.813665669718e+02
3.4                 	-1.801603380159e+02
3.5                 	-1.802929994105e+02
3.6                 	-1.830621300582e+02
3.7                 	-1.809487131987e+02
3.8                 	-1.854953462035e+02
3.9                 	-1.792542502699e+02
4                   	-1.824212429699e+02
4.1                 	-1.792270972128e+02
4.2                 	-1.814812474924e+02
4.3                 	-1.846454552468e+02
4.4                 	-1.808153273834e+02
4.5                 	-1.837957581269e+02
4.6                 	-1.804302712202e+02
4.7                 	-1.824929568467e+02
4.8                 	-1.832743739724e+02
4.9                 	-1.796708245974e+02
5                   	-1.838670246282e+02
